"";"group";"records";"perc"
"1";"foliicolous";459;47.2708547888774
"2";"corticolous";343;35.3244078269825
"3";"saxicolous";95;9.783728115345
"4";"terricolous";4;0.411946446961895
"5";"on bryophytes";2;0.205973223480947
"6";"bryicolous";1;0.102986611740474
"7";"on shells of bivalves";1;0.102986611740474
"8";"unknown";66;6.79711637487127
