"";"Var1";"Freq"
"251";"Phylloporia";4
"252";"Podaxis";4
"253";"Polyblastidium";4
"254";"Pseudoparmelia";4
"255";"Pythium";4
"256";"Repetophragma";4
"257";"Rhizomyces";4
"258";"Rickia";4
"259";"Rigidoporus";4
"260";"Sarcinella";4
"261";"Schizothyrium";4
"262";"Scolecostigmina";4
"263";"Scytinostroma";4
"264";"Sporothrix";4
"265";"Stagonospora";4
"266";"Stemonitopsis";4
"267";"Tapellaria";4
"268";"Tremella";4
"269";"Trichothyrium";4
"270";"Afroboletus";3
"271";"Allographa";3
"272";"Alyxoria";3
"273";"Amazonia";3
"274";"Ambispora";3
"275";"Annellophora";3
"276";"Anthostomella";3
"277";"Archaeospora";3
"278";"Armillaria";3
"279";"Asterolibertia";3
"280";"Biscogniauxia";3
"281";"Boletellus";3
"282";"Botryosphaeria";3
"283";"Bovista";3
"284";"Canoparmelia";3
"285";"Chaetocalathus";3
"286";"Chaetopsina";3
"287";"Chionomyces";3
"288";"Chrysosporium";3
"289";"Circinella";3
"290";"Claroideoglomus";3
"291";"Clathrus";3
"292";"Clitocybe";3
"293";"Clitopilus";3
"294";"Coccocarpia";3
"295";"Coltricia";3
"296";"Colus";3
"297";"Conidiosporomyces";3
"298";"Cookeina";3
"299";"Corallomycetella";3
"300";"Craterellus";3
"301";"Craterium";3
"302";"Cryptothecia";3
"303";"Cunninghamella";3
"304";"Dactuliophora";3
"305";"Diachea";3
"306";"Dicyma";3
"307";"Diderma";3
"308";"Dimerium";3
"309";"Diorchidium";3
"310";"Dothiorella";3
"311";"Endophragmiella";3
"312";"Epibryon";3
"313";"Fouragea";3
"314";"Gliomastix";3
"315";"Glomerella";3
"316";"Golovinomyces";3
"317";"Graphina";3
"318";"Guignardia";3
"319";"Gyroporus";3
"320";"Hansfordiella";3
"321";"Haplotrichum";3
"322";"Hemibeltrania";3
"323";"Hydropus";3
"324";"Hymenagaricus";3
"325";"Hypholoma";3
"326";"Hypocrella";3
"327";"Inonotus";3
"328";"Jamesdicksonia";3
"329";"Lacellina";3
"330";"Laxitextum";3
"331";"Lenzites";3
"332";"Lichtheimia";3
"333";"Linocarpon";3
"334";"Macrophoma";3
"335";"Melanconium";3
"336";"Microascus";3
"337";"Micropeltis";3
"338";"Mutinus";3
"339";"Mycosyrinx";3
"340";"Nodulisporium";3
"341";"Paecilomyces";3
"342";"Penzigomyces";3
"343";"Peziza";3
"344";"Phylloblastia";3
"345";"Phylloporus";3
"346";"Phyllostictina";3
"347";"Pisolithus";3
"348";"Pithomyces";3
"349";"Plectomyriangium";3
"350";"Podosordaria";3
"351";"Podosphaera";3
"352";"Pseudopithomyces";3
"353";"Psilocybe";3
"354";"Psorotheciopsis";3
"355";"Pterula";3
"356";"Pucciniosira";3
"357";"Pycnoporus";3
"358";"Pyramidospora";3
"359";"Pyrenastrum";3
"360";"Pyrenochaeta";3
"361";"Ramulispora";3
"362";"Relicina";3
"363";"Rhizopus";3
"364";"Sarocladium";3
"365";"Spegazzinia";3
"366";"Stemphylium";3
"367";"Stigmina";3
"368";"Symphytocarpus";3
"369";"Thermomyces";3
"370";"Tilletia";3
"371";"Torula";3
"372";"Tropicoporus";3
"373";"Truncospora";3
"374";"Tubosaeta";3
"375";"Uraecium";3
"376";"Verrucaria";3
"377";"Verticillium";3
"378";"Vizella";3
"379";"Xanthoparmelia";3
"380";"Xenidiocercus";3
"381";"Xerotus";3
"382";"Zwackhia";3
"383";"Absidia";2
"384";"Acanthonitschkea";2
"385";"Acrodictys";2
"386";"Acrostalagmus";2
"387";"Aderkomyces";2
"388";"Agrocybe";2
"389";"Amandinea";2
"390";"Ampullifera";2
"391";"Amylosporus";2
"392";"Anisomeridium";2
"393";"Anthracothecium";2
"394";"Aphanoascus";2
"395";"Appendiculella";2
"396";"Arthrobotrys";2
"397";"Asterostomella";2
"398";"Auerswaldia";2
"399";"Badimia";2
"400";"Bapalmuia";2
"401";"Beltrania";2
"402";"Beltraniella";2
"403";"Bilimbia";2
"404";"Bjerkandera";2
"405";"Boeremia";2
"406";"Bolbitius";2
"407";"Botryosporium";2
"408";"Brasilicia";2
"409";"Byssolecania";2
"410";"Ceratiomyxa";2
"411";"Ceratocystis";2
"412";"Ceratosporella";2
"413";"Cerebella";2
"414";"Cerrena";2
"415";"Chaetothyrium";2
"416";"Chitonomyces";2
"417";"Choanephora";2
"418";"Cicadomyces";2
"419";"Cintractia";2
"420";"Clonostachys";2
"421";"Coleosporium";2
"422";"Collaria";2
"423";"Comatricha";2
"424";"Coniothyrium";2
"425";"Conocybe";2
"426";"Coprinus";2
"427";"Cortinarius";2
"428";"Cosmospora";2
"429";"Crossopsora";2
"430";"Cryptandromyces";2
"431";"Crypthonia";2
"432";"Cylindrocarpon";2
"433";"Cylindrocephalum";2
"434";"Davidiella";2
"435";"Deconica";2
"436";"Deflexula";2
"437";"Deightoniella";2
"438";"Dendrodochium";2
"439";"Dendryphion";2
"440";"Denticularia";2
"441";"Diatrypella";2
"442";"Dichotomopilus";2
"443";"Didymostilbe";2
"444";"Dimerina";2
"445";"Dimeromyces";2
"446";"Dimorphomyces";2
"447";"Dioicomyces";2
"448";"Dipodascus";2
"449";"Diversispora";2
"450";"Domingoella";2
"451";"Drechslera";2
"452";"Duportella";2
"453";"Encoelia";2
"454";"Endocalyx";2
"455";"Endophyllum";2
"456";"Englerula";2
"457";"Entonaema";2
"458";"Epichloe";2
"459";"Eutypa";2
"460";"Filoboletus";2
"461";"Flabellospora";2
"462";"Flammulina";2
"463";"Fracchiaea";2
"464";"Globisporangium";2
"465";"Goplana";2
"466";"Grammothele";2
"467";"Graphiola";2
"468";"Gyalectidium";2
"469";"Gyrodon";2
"470";"Hermatomyces";2
"471";"Heterocephalum";2
"472";"Heterodermia";2
"473";"Heterostelium";2
"474";"Hirneola";2
"475";"Hohenbuehelia";2
"476";"Hormodendrum";2
"477";"Hydnum";2
"478";"Hygrophoropsis";2
"479";"Hymenostilbe";2
"480";"Hysterostomella";2
"481";"Idriella";2
"482";"Inocybe";2
"483";"Junewangia";2
"484";"Kordyana";2
"485";"Kuehneola";2
"486";"Lacellinopsis";2
"487";"Lachnocladium";2
"488";"Laetiporus";2
"489";"Lasioloma";2
"490";"Laurera";2
"491";"Lecanicillium";2
"492";"Leptogium";2
"493";"Leucocintractia";2
"494";"Linhartia";2
"495";"Lomachashaka";2
"496";"Lycogala";2
"497";"Lysurus";2
"498";"Macrocybe";2
"499";"Macrolepiota";2
"500";"Macronectria";2
"501";"Macrophomina";2
"502";"Malmidea";2
"503";"Megasporoporia";2
"504";"Melanographium";2
"505";"Melanospora";2
"506";"Melanotheca";2
"507";"Menisporopsis";2
"508";"Metatrichia";2
"509";"Microcera";2
"510";"Microdochium";2
"511";"Micropeltella";2
"512";"Microporellus";2
"513";"Minimidochium";2
"514";"Moelleriella";2
"515";"Muyocopron";2
"516";"Mycovellosiella";2
"517";"Naucoria";2
"518";"Nematostigma";2
"519";"Neozygites";2
"520";"Nigroporus";2
"521";"Nigrospora";2
"522";"Ophiobolus";2
"523";"Paraglomus";2
