"";"n";"first";"last"
"Fries";7;1821;1851
"Hale";6;1971;1990
"Heim";14;1940;1977
"Huneck";1;1975;1975
"Matzer";1;1996;1996
"Merli";1;1992;1992
"Mossebo";2;2002;2017
"Motyka";1;1938;1938
"Riviere";1;2007;2007
"Rodriguez Justavino";1;2015;2015
"Roger ML";1;1936;1936
"Santamaria";1;2009;2009
"Serusiaux";2;1984;2008
"Singer";8;1944;1948
"Staiger";1;1995;1995
"Turnbull";1;1999;1999
"Tuzet";2;1952;1957
"Feuerer";1;2017;2017
"Aveskamp";2;2009;2010
"Barbosa";1;1965;1965
"Valenzuela-Lopez";1;2018;2018
"Babacauh";1;1983;1983
"Bartoli";2;1978;1984
"Becker";1;1995;1995
"Bi Voko";1;2013;2013
"Bitancourt";1;1955;1955
"Boidin";5;1975;1997
"Boucher";1;1918;1918
"Calduch";1;2002;2002
"Caneva";1;1981;1981
"Chadoeuf";1;1993;1993
"Ciccarone";3;1986;1988
"Coppins";1;1995;1995
"de Clercq";1;1983;1983
"Delassus";1;1955;1955
"Doebbeler";2;1998;2018
"Frisch";1;2010;2010
"Frisvad";1;2005;2005
"Fulgence";1;2013;2013
"Herrera";1;2013;2013
"Ingleby";1;1994;1994
"Kern";1;1959;1959
"Kone";2;2010;2013
"Locquin";1;1954;1954
"Luc";3;1951;1953
"Lustrati";1;1980;1980
"Maas Geesteranus";1;1975;1975
"Maggi";2;1978;1994
"Mayor";1;1951;1951
"Melendez-Howell";1;1965;1965
"Minter";1;1980;1980
"Mohammed";1;1994;1994
"Nipa";1;2020;2020
"Paez de Badillo";1;1982;1982
"Pagano";1;1995;1995
"Pasqualetti";1;1999;1999
"Perreau";1;1983;1983
"Persiani";2;1982;1987
"Rambelli";6;1976;1987
"Resplandy";1;1954;1954
"Romagnesi";1;1979;1979
"Samuels";1;2012;2012
"Savary";1;1988;1988
"Sery";1;2016;2016
"Stadler";1;2010;2010
"Stevens";1;1983;1983
"Stolk";1;1968;1968
"Swinscow";2;1975;1988
"Tibell";1;1981;1981
"Turner BC";1;1990;1990
"van der Aa";1;1983;1983
"Vanie-Leabo";1;2017;2017
"Yen";5;1974;1978
"Zucconi";6;1982;1993
"Buchner";1;1912;1912
"Corner";2;1952;1966
"Decock";2;2002;2002
"Farr";2;1959;2005
"Hywel-Jones";1;1998;1998
"Johnson TW";1;2005;2005
"Kohlmeyer J";6;1966;1981
"Mains";1;1949;1949
"Raciborski";1;1900;1900
"Raper";1;1952;1952
"Ryvarden";1;2004;2004
"Schreurs";1;1972;1972
"Strong";1;1930;1930
"Watling";1;1992;1992
"Wickerham";1;1969;1969
"Wolf";1;1949;1949
"Babana";1;2006;2006
"Chen SF";1;2014;2014
"Coutinho";1;2017;2017
"Dagno";1;2012;2012
"Friberg";1;2001;2001
"Kee";1;2017;2017
"Kellogg";1;2004;2004
"Khemmuk";1;2016;2016
"Mayorquin";1;2016;2016
"Vandemeulebroucke";1;1999;1999
"Wilson";1;2000;2000
"Cooke";1;1888;1888
"Montegut";1;1967;1967
"Sarr";1;2014;2014
"Acharya";1;2017;2017
"Adejumo";1;2005;2005
"Adekoya";1;2017;2017
"Adekunle";1;2005;2005
"Adewusi";1;1993;1993
"Afiukwa";1;2013;2013
"Akpaja";2;2003;2005
"Alasoadura";15;1966;1976
"Alli";1;2012;2012
"Alofe";1;1996;1996
"Apinis";2;1966;1974
"Ayodele";2;2007;2011
"Bako";1;2008;2008
"Bongomin";1;2017;2017
"Booth";1;1961;1961
"Duthie";1;1917;1917
"Ejale";1;1992;1992
"Esimone";1;2007;2007
"Farquharson";1;1916;1916
"Fasidi";1;1995;1995
"Fasola";1;2007;2007
"Fassatiova";1;1967;1967
"Garcia";1;2004;2004
"Gbolagade";3;2005;2006
