"x"
"Mycosphaerella cruenta";12
"Periconia minutissima";12
"Phallus indusiatus";12
"Pseudocercospora fijiensis";12
"Pseudogibellula formicarum";12
"Puccinia erythraeensis";12
"Ramulispora sorghi";12
"Russula discopus";12
"Sporisorium schweinfurthianum";12
"Stachylidium bicolor";12
"Syngliocladium acridiorum var. acridiorum";12
"Termitomyces globulus";12
"Zygosporium echinosporum";12
"Aecidium bomolense";11
"Agaricus subsaharianus";11
"Alternaria dauci";11
"Asteridiella glabra";11
"Cercospora malayensis";11
"Claviceps fusiformis";11
"Cyathus limbatus";11
"Exserohilum rostratum";11
"Kretzschmaria deusta";11
"Kretzschmaria zonata";11
"Lactifluus densifolius";11
"Nectria pseudotrichia ";11
"Neocordana musae";11
"Passalora bataticola";11
"Pseudocercospora bradburyae";11
"Pseudoperonospora cubensis";11
"Pseudopestalotiopsis theae";11
"Puccinia heterospora";11
"Russula annulata";11
"Sporidesmium vagum";11
"Sporisorium cruentum";11
"Syncephalastrum racemosum";11
"Uromyces appendiculatus";11
"Volvopluteus earlei";11
"Zasmidium canavaliae";11
"Zygosporium masonii";11
"Amanita strobilaceovolvata";10
"Amanita xanthogala";10
"Ampullifera foliicola";10
"Asteridiella combreti";10
"Asteridiella cyclopoda";10
"Asteridiella entebbeensis";10
"Beauveria bassiana";10
"Cercospora kikuchii";10
"Cercospora nicotianae";10
"Cercospora tridacis-procumbentis";10
"Colletotrichum gossypii";10
"Curvularia trifolii";10
"Erythricium salmonicolor";10
"Hexagonia tenuis";10
"Lactarius miniatescens";10
"Marasmius arborescens";10
"Meliola clerodendri";10
"Meliola jasminicola";10
"Meliola mauritiae";10
"Neurospora sitophila";10
"Pestalotiopsis guepinii";10
"Phyllachora leucospila";10
"Pseudocercospora griseola";10
"Pseudocercospora helleri";10
"Puccinia cynodontis";10
"Puccinia lateritia";10
"Ramulispora sorghicola";10
"Ravenelia zygiae";10
"Russula oleifera";10
"Scolecostigmina palmivora";10
"Spiropes penicillium";10
"Sporisorium andropogonis";10
"Trametes palisotii";10
"Trichoderma viride";10
"Uredo cajani";10
"Uromyces tenuicutis";10
"Ustilago maydis";10
"Afroboletus costatisporus";9
"Afroboletus luteolus";9
"Agrocybe broadwayi";9
"Albonectria rigidiuscula";9
"Ascochyta sorghi";9
"Aspergillus ochraceus";9
"Aspergillus terreus";9
"Aspergillus versicolor";9
"Cantharellus pseudofriesii";9
"Cercospora annulata";9
"Cercospora apii";9
"Cercospora beticola";9
"Cercospora bidentis";9
"Cercospora duddiae";9
"Cercospora zinniae";9
"Cladosporium herbarum";9
"Coltricia cinnamomea";9
"Coprinopsis africana";9
"Corynespora torulosa";9
"Crinipellis glaucospora";9
"Davidiella spilota";9
"Diplocarpon rosae";9
"Dipodascus geotrichum";9
"Dirinaria aegialita";9
"Domingoella asterinarum";9
"Endocalyx melanoxanthus";9
"Exosporium stilbaceum";9
"Fulvia fulva";9
"Fusarium roseum";9
"Fuscoporia senex";9
"Harzia palmara";9
"Hypoxylon rubiginosum";9
"Lactarius afroscrobiculatus";9
"Marasmius haediniformis";9
"Melanographium citri";9
"Meliola clavulata";9
"Meliola clerodendricola";9
"Meliola teramni";9
"Meliola togoensis";9
"Micropeltis ugandae";9
"Mycosphaerella gossypina";9
"Mycovellosiella bellynckii";9
"Penzigomyces parvus";9
"Pestalotiopsis disseminata";9
"Phallus aurantiacus";9
"Phallus rubicundus";9
"Phyllachora ischaemi";9
"Pseudocercospora phyllanthi";9
"Puccinia batatas";9
"Russula cellulata";9
"Spegazzinia tessarthra";9
"Sporisorium scitamineum";9
"Stachybotrys parvisporus";9
"Trametes meyenii";9
"Wallrothiella subiculosa";9
"Xerocomus subspinulosus";9
"Aecidium phyllanthi";8
"Agaricus trisulphuratus";8
"Alternaria longissima";8
"Anthracocystis ischaemoides";8
"Arrhenia auriscalpium";8
"Aspergillus candidus";8
"Aspergillus tamarii";8
"Asterina manihotis";8
"Brevistachys subsimplex";8
"Cercospora capsici";8
"Cerotelium corchori";8
"Chaetocalathus niduliformis";8
"Claviceps africana";8
"Curvularia ravenelii";8
"Dendryphion vinosum";8
"Favolus tenuiculus";8
"Fibroidium abelmoschi";8
"Geastrum saccatum";8
"Gloeocercospora sorghi";8
"Gymnopus stenophyllus";8
"Itajahya rosea";8
"Lactifluus inversus";8
"Meliola caesalpiniae";8
"Meliola cissampeli";8
"Meliola coffeae";8
"Meliola fagarae";8
"Meliola geniculata";8
"Meliola malacotricha";8
"Meliola paulliniae";8
"Metulocladosporiella musae";8
"Nigrocornus scleroticus";8
"Peronospora favargeri";8
"Pestalotiopsis aquatica";8
"Pestalotiopsis versicolor";8
"Phyllachora afra";8
"Phyllachora contigua";8
"Phyllachora pterocarpi";8
"Phyllachora sphaerosperma";8
"Phyllosticta batatas";8
"Phyllosticta dioscoreae";8
"Physoderma maydis";8
"Pseudocercospora timorensis";8
"Pseudopithomyces sacchari";8
