"taxon";"species";"species_perc";"Benin";"Benin_perc";"Burkina Faso";"Burkina Faso_perc";"Gambia";"Gambia_perc";"Ghana";"Ghana_perc";"Guinea";"Guinea_perc";"Guinea-Bissau";"Guinea-Bissau_perc";"Ivory Coast";"Ivory Coast_perc";"Liberia";"Liberia_perc";"Mali";"Mali_perc";"Niger";"Niger_perc";"Nigeria";"Nigeria_perc";"Senegal";"Senegal_perc";"Sierra Leone";"Sierra Leone_perc";"Togo";"Togo_perc";"West Africa";"West Africa_perc"
"Lichinales";161;0.11662103234966;0;0;0;0;0;0;0;0;2;0.25;0;0;15;1.3;0;0;0;0;0;0;5;0.38;0;0;0;0;0;0;20;0.42
"Lulworthiales";58;0.0420125458154056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1.89;0;0;0;0;0;0;0;0;0;0;0;0;3;0.06
"Magnaporthales";277;0.200646123980471;1;0.24;3;2.27;1;0.85;6;0.39;3;0.38;0;0;6;0.52;0;0;3;2.56;1;1.18;6;0.45;1;0.33;8;0.49;2;0.37;13;0.27
"Melanosporales";159;0.115172323873267;0;0;0;0;0;0;1;0.07;1;0.13;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;1;0.06;0;0;1;0.02
"Meliolales";2509;1.81740478363539;3;0.71;0;0;1;0.85;142;9.29;21;2.63;0;0;10;0.87;0;0;0;0;0;0;4;0.3;0;0;229;14.05;13;2.38;269;5.69
"Microascales";813;0.588899995653875;1;0.24;0;0;0;0;6;0.39;1;0.13;0;0;8;0.7;5;3.14;0;0;0;0;3;0.23;1;0.33;2;0.12;1;0.18;19;0.4
"Microthyriales";872;0.631636895707477;0;0;0;0;0;0;21;1.37;9;1.13;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;11;0.67;5;0.92;30;0.63
"Monoblastiales";NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;2;0.17;0;0;0;0;0;0;0;0;0;0;1;0.06;0;0;3;0.06
"Muyocopronales";51;0.036942066148029;0;0;0;0;0;0;0;0;0;0;0;0;2;0.17;0;0;0;0;0;0;0;0;0;0;1;0.06;0;0;2;0.04
"Mycocaliciales";68;0.049256088197372;0;0;0;0;0;0;1;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Mycosphaerellales";6397;4.63369406174396;11;2.61;8;6.06;8;6.84;109;7.13;89;11.17;4;21.05;83;7.22;7;4.4;8;6.84;11;12.94;129;9.68;29;9.63;205;12.58;59;10.81;335;7.08
"Myriangiales";369;0.267286713894563;0;0;0;0;0;0;4;0.26;2;0.25;0;0;9;0.78;1;0.63;0;0;0;0;1;0.08;0;0;4;0.25;0;0;16;0.34
"Mytilinidiales";156;0.112999261158677;0;0;0;0;0;0;0;0;0;0;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Onygenales";411;0.297709591898822;0;0;0;0;0;0;2;0.13;0;0;0;0;6;0.52;0;0;2;1.71;0;0;4;0.3;0;0;0;0;0;0;13;0.27
"Ophiostomatales";354;0.256421400321613;0;0;0;0;0;0;3;0.2;0;0;0;0;3;0.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0.11
"Orbiliales";406;0.294087820707839;0;0;0;0;0;0;1;0.07;0;0;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.04
"Ostropales";1358;0.983673055471048;0;0;0;0;4;3.42;21;1.37;56;7.03;0;0;62;5.39;1;0.63;0;0;0;0;41;3.08;1;0.33;30;1.84;6;1.1;140;2.96
"Parasympodiellales";NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;1;0.02
"Patellariales";134;0.0970634679183508;0;0;0;0;0;0;2;0.13;1;0.13;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;2;0.12;0;0;2;0.04
"Peltigerales";668;0.483868631115361;0;0;0;0;0;0;2;0.13;4;0.5;0;0;6;0.52;0;0;0;0;0;0;3;0.23;0;0;3;0.18;1;0.18;13;0.27
"Pertusariales";376;0.27235719356194;0;0;0;0;0;0;1;0.07;1;0.13;0;0;1;0.09;0;0;0;0;0;0;1;0.08;0;0;0;0;0;0;1;0.02
"Pezizales";2660;1.92678227360308;2;0.47;0;0;0;0;6;0.39;0;0;0;0;1;0.09;1;0.63;1;0.85;0;0;9;0.68;1;0.33;6;0.37;3;0.55;17;0.36
"Phomatosporales";81;0.0586726932939285;0;0;0;0;0;0;0;0;2;0.25;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;1;0.06;0;0;3;0.06
