"";"checklist";"both";"GBIF/IMI"
"Benin";428;1;7
"Burkina Faso";131;0;1
"Gambia";101;17;62
"Ghana";936;571;411
"Guinea";647;161;98
"Guinea-Bissau";19;0;0
"Ivory Coast";1110;34;57
"Liberia";153;6;21
"Mali";103;0;5
"Niger";80;5;19
"Nigeria";967;298;743
"Senegal";267;10;33
"Sierra Leone";837;735;903
"Togo";493;32;103
