"taxon";"species";"species_perc";"Benin";"Benin_perc";"Burkina Faso";"Burkina Faso_perc";"Gambia";"Gambia_perc";"Ghana";"Ghana_perc";"Guinea";"Guinea_perc";"Guinea-Bissau";"Guinea-Bissau_perc";"Ivory Coast";"Ivory Coast_perc";"Liberia";"Liberia_perc";"Mali";"Mali_perc";"Niger";"Niger_perc";"Nigeria";"Nigeria_perc";"Senegal";"Senegal_perc";"Sierra Leone";"Sierra Leone_perc";"Togo";"Togo_perc";"West Africa";"West Africa_perc"
"Lichinales";161;0.11662103234966;0;0;0;0;0;0;0;0;2;0.25;0;0;15;1.31;0;0;0;0;0;0;5;0.39;0;0;0;0;0;0;20;0.41
"Lulworthiales";58;0.0420125458154056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1.89;0;0;0;0;0;0;0;0;0;0;0;0;3;0.06
"Magnaporthales";277;0.200646123980471;1;0.23;3;2.29;1;0.85;6;0.4;3;0.37;0;0;6;0.52;0;0;4;3.88;1;1.18;4;0.31;1;0.36;8;0.51;2;0.38;14;0.29
"Melanosporales";159;0.115172323873267;0;0;0;0;0;0;1;0.07;1;0.12;0;0;1;0.09;0;0;0;0;0;0;1;0.08;0;0;1;0.06;0;0;2;0.04
"Meliolales";2509;1.81740478363539;3;0.69;0;0;1;0.85;141;9.32;21;2.59;0;0;10;0.87;0;0;0;0;0;0;4;0.31;0;0;220;13.94;12;2.28;268;5.55
"Microascales";813;0.588899995653875;1;0.23;0;0;0;0;6;0.4;1;0.12;0;0;7;0.61;5;3.14;0;0;0;0;4;0.31;1;0.36;1;0.06;1;0.19;20;0.41
"Microthyriales";872;0.631636895707477;0;0;0;0;0;0;20;1.32;8;0.99;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;9;0.57;5;0.95;29;0.6
"Monoblastiales";NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;2;0.17;0;0;0;0;0;0;0;0;0;0;1;0.06;0;0;3;0.06
"Muyocopronales";51;0.036942066148029;0;0;0;0;0;0;0;0;0;0;0;0;2;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.04
"Mycocaliciales";68;0.049256088197372;0;0;0;0;0;0;1;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Mycosphaerellales";6397;4.63369406174396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Myriangiales";369;0.267286713894563;0;0;0;0;0;0;4;0.26;2;0.25;0;0;9;0.79;1;0.63;0;0;0;0;1;0.08;0;0;4;0.25;0;0;16;0.33
"Mytilinidiales";156;0.112999261158677;0;0;0;0;0;0;0;0;0;0;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Onygenales";411;0.297709591898822;0;0;0;0;0;0;3;0.2;1;0.12;0;0;11;0.96;0;0;2;1.94;0;0;4;0.31;0;0;0;0;0;0;19;0.39
