status of taxon;kingdom;phylum;order;family;cf./aff.;species;authors;Mycology Phytopathology Lichenology;ecology;substrate;host family;literature reference;only reference;only year;Benin (Dahomey);Burkina-Faso;Gambia;Ghana (Gold Coast);Guinea;Guinea Bissau;Ivory Coast;Liberia;Mali;Niger;Nigeria;Senegal;Sierra Leone;Togo;Comments
accepted;Fungi;Ascomycota;Trypetheliales;Trypetheliaceae;type of a new species;Bathelium mastoideum;Afzel. ex Ach.;l;lichenized;corticolous;;Acharius 1803: 111;Acharius 1803;1803;;;;;;;;;;;;;x;;leg. Afzelius
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;type of a new species;Pyrenula mamillana;(Ach.) Trevis.;l;lichenized;corticolous;;Acharius 1803: 120, cited as Verrucaria mamillana;Acharius 1803;1803;;;;;;;;;;;;;x;;leg. Afzelius
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;type of a new species;Pyrenula aspistea;(Afzel. ex Ach.) Ach.;l;lichenized;corticolous;;Acharius 1803: 121, cited as Verrucaria aspistea;Acharius 1803;1803;;;;;;;;;;;;;x;;leg. Afzelius
accepted;Fungi;Ascomycota;Ostropales;Porinaceae;type of a new species;Porina tetracerae;(Ach.) Müll. Arg.;l;lichenized;corticolous;;Acharius 1803: 121, cited as Verrucaria tetracerae;Acharius 1803;1803;;;;;;;;;;;;;x;;leg. Afzelius
name invalid, later homonym;Fungi;Ascomycota;Verrucariales;Verrucariaceae;type of a new species (later homonym);Verrucaria ocellata;Afzel. ex Ach.;l;lichenized;corticolous;;Acharius 1803: 123;Acharius 1803;1803;;;;;;;;;;;;;x;;leg. Afzelius
accepted;Fungi;Ascomycota;Caliciales;Caliciaceae;type of a new species;Dirinaria aegialita;(Afzel. ex Ach.) B.J. Moore;l;lichenized;corticolous;;Acharius 1803: 191, cited as Parmelia aegialita;Acharius 1803;1803;;;;;;;;;;;;;x;;leg. Afzelius
accepted;Fungi;Ascomycota;Arthoniales;Lecanographaceae;type of a new species;Zwackhia prosodea;(Afzel.) Ertz;l;lichenized;corticolous;;Acharius 1803: 22, cited as Opegrapha prosodea;Acharius 1803;1803;;;;;;;;;;;;;x;;leg. Afzelius
accepted;Fungi;Ascomycota;Peltigerales;Pannariaceae;type of a new species;Physma byrsaeum;(Afzel. ex Ach.) Tuck.;l;lichenized;corticolous;;Acharius 1803: 222, cited as Parmelia byrsaea;Acharius 1803;1803;;;;;;;;;;;;;x;;leg. Afzelius
accepted;Fungi;Ascomycota;Arthoniales;Lecanographaceae;;Zwackhia prosodea;(Afzel.) Ertz;l;lichenized;corticolous;;Acharius 1810: 256, cited as Opegrapha prosodea;Acharius 1810;1810;;;;;;;;;;;;;x;;leg. Afzelius
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;;Pyrenula mamillana;(Ach.) Trevis.;l;lichenized;corticolous;;Acharius 1810: 279, cited as Verrucaria mamillana;Acharius 1810;1810;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Porinaceae;;Porina tetracerae;(Ach.) Müll. Arg.;l;lichenized;corticolous;;Acharius 1810: 280, cited as Verrucaria tetracerae;Acharius 1810;1810;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;;Pyrenula aspistea;(Afzel. ex Ach.) Ach.;l;lichenized;corticolous;;Acharius 1810: 281, cited as Verrucaria aspistea;Acharius 1810;1810;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Trypetheliales;Trypetheliaceae;;Bathelium mastoideum;Afzel. ex Ach.;l;lichenized;corticolous;;Acharius 1810: 307, cited as Trypethelium mastoideum;Acharius 1810;1810;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;;Pyrenula ocellata;Ach.;l;lichenized;corticolous;;Acharius 1810: 318;Acharius 1810;1810;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Caliciales;Caliciaceae;;Dirinaria aegialita;(Afzel. ex Ach.) B.J. Moore;l;lichenized;saxicolous;;Acharius 1810: 423, cited as Lecanora aegialita;Acharius 1810;1810;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Peltigerales;Collemataceae;type of a new species;Collema byrsinum;Ach.;l;lichenized;on bryophytes;;Acharius 1810: 642;Acharius 1810;1810;;;;;;;;;;;;;x;;
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;type of a new species;Thelotrema fumosum;Ach.;l;lichenized;corticolous;;Acharius 1812: 91;Acharius 1812;1812;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;type of a new species;Thelotrema obturatum;Ach.;l;lichenized;corticolous;;Acharius 1812: 92;Acharius 1812;1812;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;type of a new species;Ocellularia cavata;(Ach.) Müll. Arg.;l;lichenized;corticolous;;Acharius 1812: 92, cited as Thelotrema cavatum;Acharius 1812;1812;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;type of a new species;Ocellularia cavata;(Ach.) Müll. Arg.;l;lichenized;corticolous;;Acharius 1812: 92, cited as Thelotrema cavatum;Acharius 1812;1812;;;;;;;;;;;;;x;;
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;type of a new species;Ocellularia discoidea;(Ach.) Müll. Arg.;l;lichenized;corticolous;;Acharius 1812: 94, cited as Thelotrema discoideum;Acharius 1812;1812;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Trypetheliales;Trypetheliaceae;;Pyrenula anomala;(Ach.) Vain.;l;lichenized;corticolous;;Acharius 1814a: 105, cited as Trypethelium anomalum;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Trypetheliales;Trypetheliaceae;;Bathelium mastoideum;Afzel. ex Ach.;l;lichenized;corticolous;;Acharius 1814a: 105, cited as Trypethelium mastoideum;Acharius 1814a;1814a;;;;;;;;;;;;;x;;
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;type of a new species;Glyphis cicatricosa;Ach.;l;lichenized;corticolous;;Acharius 1814a: 107;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;type of a new species;Sarcographa labyrinthica;(Ach.) Müll. Arg.;l;lichenized;corticolous;;Acharius 1814a: 107, cited as Glyphis labyrinthica;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Porinaceae;type of a new species;Porina nucula;Ach.;l;lichenized;corticolous;;Acharius 1814a: 112;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;;Thelotrema fumosum;Ach.;l;lichenized;corticolous;;Acharius 1814a: 115;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;;Thelotrema obturatum;Ach.;l;lichenized;corticolous;;Acharius 1814a: 116;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;;Ocellularia cavata;(Ach.) Müll. Arg.;l;lichenized;corticolous;;Acharius 1814a: 116, cited as Thelotrema cavatum;Acharius 1814a;1814a;;;;;;;;;;;;;x;;
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;;Pyrenula ocellata;Ach.;l;lichenized;corticolous;;Acharius 1814a: 119;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;type of a new species;Pyrenula trypanea;Ach.;l;lichenized;corticolous;;Acharius 1814a: 119;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;type of a new species;Pyrenula cinerosa;Ach.;l;lichenized;corticolous;;Acharius 1814a: 122;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;;Pyrenula mastoidea;Ach.;l;lichenized;corticolous;;Acharius 1814a: 122;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;;Pyrenula aspistea;(Afzel. ex Ach.) Ach.;l;lichenized;corticolous;;Acharius 1814a: 123;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Porinaceae;;Porina tetracerae;(Ach.) Müll. Arg.;l;lichenized;corticolous;;Acharius 1814a: 125, cited as Pyrenula tetracerae;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;type of a new species;Pyrenula heteroclita;Ach.;l;lichenized;corticolous;;Acharius 1814a: 127;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Lecanorales;Malmideaceae;type of a new species;Malmidea granifera;(Ach.) Kalb, Rivas Plata & Lumbsch;l;lichenized;corticolous;;Acharius 1814a: 163, cited as Lecanora granifera;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Caliciales;Caliciaceae;;Dirinaria aegialita;(Afzel. ex Ach.) B.J. Moore;l;lichenized;corticolous;;Acharius 1814a: 179, cited as Lecanora aegialita;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Baeomycetales;Xylographaceae;type of a new species;Spiloma effusum;Ach.;l;lichenized;corticolous;;Acharius 1814a: 2;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;type of a new species;Glyphis scyphulifera;(Ach.) Staiger;l;lichenized;corticolous;;Acharius 1814a: 27, cited as Lecidea scyphulifera;Acharius 1814a;1814a;;;;;;;;;;;;;x;;
accepted;Fungi;Ascomycota;Baeomycetales;Xylographaceae;type of a new species;Spiloma inustum;Ach.;l;lichenized;corticolous;;Acharius 1814a: 3;Acharius 1814a;1814a;;;;;;;;;;;;;x;;
accepted;Fungi;Ascomycota;Peltigerales;Collemataceae;;Collema byrsinum;Ach.;l;lichenized;on bryophytes;;Acharius 1814a: 319;Acharius 1814a;1814a;;;;;;;;;;;;;x;;
accepted;Fungi;Ascomycota;Lecideales;Lecideaceae;;Lecidea rubina;Ach.;l;lichenized;corticolous;;Acharius 1814a: 40;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Arthoniales;Arthoniaceae;;Arthonia radiata;(Pers.) Ach.;l;lichenized;corticolous;;Acharius 1814a: 5, cited as Arthonia swartziana;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Arthoniales;Lecanographaceae;;Zwackhia prosodea;(Afzel.) Ertz;l;lichenized;corticolous;;Acharius 1814a: 74, cited as Opegrapha prosodea;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;type of a new species;Allographa striatula;(Ach.) Lücking & Kalb;l;lichenized;corticolous;;Acharius 1814a: 74, cited as Opegrapha striatula;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Arthoniales;Opegraphaceae;type of a new species;Opegrapha cicatrisans;Ach.;l;lichenized;corticolous;;Acharius 1814a: 78;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;type of a new species;Graphis tenella;Ach.;l;lichenized;corticolous;;Acharius 1814a: 81;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;;Dyplolabia afzelii;(Ach.) A. Massal.;l;lichenized;corticolous;;Acharius 1814a: 85, cited as Graphis afzelii;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;type of a new species;Graphis pezizoidea;Ach.;l;lichenized;corticolous;;Acharius 1814a: 86;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;type of a new species;Graphis planata;Ach.;l;lichenized;corticolous;;Acharius 1814a: 86;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Verrucariales;Verrucariaceae;type of a new species;Verrucaria galactina;Ach.;l;lichenized;corticolous;;Acharius 1814a: 90;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Verrucariales;Verrucariaceae;type of a new species;Verrucaria pyrinoica;Ach.;l;lichenized;corticolous;;Acharius 1814a: 91;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Verrucariales;Verrucariaceae;type of a new species;Verrucaria sphinctrina;Ach.;l;lichenized;corticolous;;Acharius 1814a: 91;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;;Pyrenula mamillana;(Ach.) Trevis.;l;lichenized;corticolous;;Acharius 1814a: 92, cited as Verrucaria mamillana;Acharius 1814a;1814a;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;;Pyrenula ocellata;Ach.;l;lichenized;corticolous;;Acharius 1814b: 11;Acharius 1814b;1814b;;;;;;;;;;;;;x;;
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;;Pyrenula aspistea;(Afzel. ex Ach.) Ach.;l;lichenized;corticolous;;Acharius 1814b: 17;Acharius 1814b;1814b;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Porinaceae;;Porina tetracerae;(Ach.) Müll. Arg.;l;lichenized;corticolous;;Acharius 1814b: 20, cited as Pyrenula tetracerae;Acharius 1814b;1814b;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Basidiomycota;Agaricales;Hymenogastraceae;;Gymnopilus purpureosquamulosus;Høil.;m;saprotrophic;on dead wood;;Acharya et al. 2017: 4;Acharya et al. 2017;2017;;;;;;;;;;;x;;;;
accepted;Fungi;Ascomycota;Hypocreales;Hypocreaceae;;Trichoderma harzianum;Rifai;p;saprotrophic;Vigna unguiculata;Fabaceae;Adandonon et al. 2004: 561;Adandonon et al. 2004 ;2004;x;;;;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Cantharellales;Ceratobasidiaceae;;Rhizoctonia solani;J.G. Kühn;p;parasitic on vascular plants;diverse species of plants;diverse families;Adandonon et al. 2004: 561;Adandonon et al. 2004 ;2004;x;;;;;;;;;;x;;;;
accepted;Chromista;Oomycota;Peronosporales;Pythiaceae;;Pythium aphanidermatum;(Edson) Fitzp.;p;parasitic on vascular plants;Vigna unguiculata;Fabaceae;Adandonon et al. 2004: 561;Adandonon et al. 2004 ;2004;;;;;;;;;;;x;;;;
accepted;Chromista;Oomycota;Peronosporales;Pythiaceae;;Globisporangium ultimum;(Trow) Uzuhashi, Tojo & Kakish.;p;parasitic on vascular plants;Vigna unguiculata;Fabaceae;Adandonon et al. 2004: 561, cited as Pythium ultimum;Adandonon et al. 2004;2004;x;;;;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Atheliales;Atheliaceae;;Athelia rolfsii;(Curzi) C.C. Tu & Kimbr.;p;parasitic on vascular plants;diverse species of plants;diverse families;Adandonon et al. 2004: 561, cited as Sclerotium rolfsii;Adandonon et al. 2004;2004;x;;;;;;;;;;x;;;;
accepted;Fungi;Ascomycota;Botryosphaeriales;Botryosphaeriaceae;;Lasiodiplodia theobromae;(Pat.) Griffon & Maubl.;p;saprotrophic or parasitic on vascular plants;Jatropha curcas;Euphorbiaceae;Adandonon et al. 2014: 6874-6875;Adandonon et al. 2014 ;2014;x;;;;;;;;;;x;x;;;
accepted;Fungi;Basidiomycota;Agaricales;Lyophyllaceae;;Termitomyces mammiformis;R. Heim;m;symbiotic with arthropods;;;Adejumo & Awosanya 2005: 1085;Adejumo & Awosanya 2005;2005;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Lentinus tigrinus;(Bull.) Fr.;m;saprotrophic;;;Adejumo & Awosanya 2005: 1085;Adejumo & Awosanya 2005;2005;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Russulales;Russulaceae;;Lactarius trivialis;(Fr.) Fr.;m;ectomycorrhizal;;;Adejumo & Awosanya 2005: 1085;Adejumo & Awosanya 2005;2005;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Russulales;Russulaceae;;Russula vesca;Fr.;m;ectomycorrhizal;;;Adejumo & Awosanya 2005: 1085;Adejumo & Awosanya 2005;2005;;;;;;;;;;;;;;;
accepted;Fungi;Basidiomycota;Auriculariales;Auriculariaceae;;Auricularia sp.;;m;saprotrophic;;;Adekunle & Ajao 2005: 809;Adekunle & Ajao 2005;2005;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Agaricales;Lyophyllaceae;;Termitomyces robustus;(Beeli) R. Heim;m;symbiotic with arthropods;;;Adekunle & Ajao 2005: 809;Adekunle & Ajao 2005;2005;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Agaricales;Lyophyllaceae;;Termitomyces striatus;(Beeli) R. Heim;m;symbiotic with arthropods;;;Adekunle & Ajao 2005: 809;Adekunle & Ajao 2005;2005;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Agaricales;Pluteaceae;;Volvariella volvacea;(Bull.) Singer;m;saprotrophic;;;Adekunle & Ajao 2005: 809;Adekunle & Ajao 2005;2005;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Agaricales;Schizophyllaceae;;Schizophyllum commune;Fr.;m;saprotrophic;;;Adekunle & Ajao 2005: 809;Adekunle & Ajao 2005;2005;;;;;;;;;;;;;x;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Lentinus squarrosulus;Mont.;m;saprotrophic;;;Adekunle & Ajao 2005: 809, cited as Pleurotus squarrosulus;Adekunle & Ajao 2005;2005;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Lentinus tuber-regium;(Fr.) Fr.;m;saprotrophic;;;Adekunle & Ajao 2005: 809, cited as Pleurotus tuber-regium;Adekunle & Ajao 2005;2005;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Agaricales;Catathelasmataceae;;Macrocybe lobayensis;(R. Heim) Pegler & Lodge;m;saprotrophic;;;Adekunle & Ajao 2005: 809, cited as Tricholoma lobayense;Adekunle & Ajao 2005;2005;;;;;;;;;;;x;;;;
accepted;Fungi;Ascomycota;Eurotiales;Aspergillaceae;;Aspergillus niger;Tiegh.;p;parasitic on vascular plants;Dioscorea cayanensis, Dioscorea dumetorum, Dioscorea rotundata ;Dioscoreaceae;Adeniji 1970: 591;Adeniji 1970;1970;;;;;;;;;;;x;;;;
accepted;Fungi;Ascomycota;Eurotiales;Aspergillaceae;;Aspergillus tamarii;Kita;p;parasitic on vascular plants;Dioscorea alata, Dioscorea esculenta, Dioscorea rotundata ;Dioscoreaceae;Adeniji 1970: 591;Adeniji 1970;1970;;;;;;;;;;;x;;;;
accepted;Fungi;Ascomycota;Eurotiales;Aspergillaceae;;Penicillium oxalicum;Currie & Thom;p;parasitic on vascular plants;Dioscorea alata, Dioscorea cayanensis, Dioscorea dumetorum, Dioscorea rotundata ;Dioscoreaceae;Adeniji 1970: 591;Adeniji 1970;1970;;;;;;;;;;;x;;;;
accepted;Fungi;Ascomycota;Capnodiales;Cladosporiaceae;;Cladosporium herbarum;(Pers.) Link;p;parasitic on vascular plants;Dioscorea rotundata ;Dioscoreaceae;Adeniji 1970: 591;Adeniji 1970;1970;;;;;;;;;;;x;;;;
accepted;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium sp.;;p;parasitic on vascular plants;Dioscorea sp.;Dioscoreaceae;Adeniji 1970: 591;Adeniji 1970;1970;;;;;;;;;;;;;;;
accepted;Fungi;Ascomycota;Botryosphaeriales;Botryosphaeriaceae;;Lasiodiplodia theobromae;(Pat.) Griffon & Maubl.;p;saprotrophic or parasitic on vascular plants;Dioscorea alata, Dioscorea rotundata ;Dioscoreaceae;Adeniji 1970: 591, 592, cited as Botryodiplodia theobromae;Adeniji 1970;1970;;;;x;;;x;;;;x;;;;
accepted;Fungi;Ascomycota;Hypocreales;Hypocreales family incertae sedis;;Ilyonectria radicicola;(Gerlach & L. Nilsson) P. Chaverri & Salgado;p;parasitic on vascular plants;Dioscorea alata, Dioscorea rotundata ;Dioscoreaceae;Adeniji 1970: 591, cited as Cylindrocarpon radicicola;Adeniji 1970;1970;;;;;;;;;;;x;;;;
accepted;Fungi;Zygomycota;Mucorales;Rhizopodaceae;;Rhizopus stolonifer;(Ehrenb.) Vuill.;p;parasitic on vascular plants;Dioscorea alata, Dioscorea rotundata ;Dioscoreaceae;Adeniji 1970: 591, cited as Rhizopus nigricans;Adeniji 1970;1970;;;;;;;;;;;x;;;;
accepted;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium solani;(Mart.) Sacc.;p;parasitic on vascular plants;Dioscorea sp.;Dioscoreaceae;Adeniji 1970: 592;Adeniji 1970;1970;;;;;;;x;;;;;;x;;
accepted;Fungi;Ascomycota;Botryosphaeriales;Botryosphaeriaceae;;Neoscytalidium dimidiatum;(Penz.) Crous & Slippers;p;parasitic on vascular plants;Dioscorea sp.;Dioscoreaceae;Adeniji 1970: 592, cited as Hendersonula toruloidea ;Adeniji 1970;1970;;;;;;;;;;;x;;;;
accepted;Fungi;Ascomycota;Botryosphaeriales;Botryosphaeriaceae;;Macrophomina phaseolina;(Tassi) Goid.;p;parasitic on vascular plants;Dioscorea sp.;Dioscoreaceae;Adeniji 1970: 592, cited as Macrophomina phaseoli;Adeniji 1970;1970;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Agaricales;Agaricaceae;aff.;Chlorophyllum molybdites ;(G. Mey.) Masse;m;saprotrophic;;;Adewusi et al. 1993: 115;Adewusi et al. 1993 ;1993;;;;;;;;;;;x;;;;C. molybdites probably does not occur in Africa.
accepted;Fungi;Basidiomycota;Agaricales;Lyophyllaceae;;Termitomyces robustus;(Beeli) R. Heim;m;symbiotic with arthropods;;;Adewusi et al. 1993: 115;Adewusi et al. 1993 ;1993;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Agaricales;Lyophyllaceae;;Termitomyces striatus;(Beeli) R. Heim;m;symbiotic with arthropods;;;Adewusi et al. 1993: 115;Adewusi et al. 1993 ;1993;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Agaricales;Pluteaceae;;Volvariella esculenta;(Massee) Singer;m;saprotrophic;;;Adewusi et al. 1993: 115;Adewusi et al. 1993 ;1993;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Agaricales;Psathyrellaceae;;Psathyrella atroumbonata;Pegler;m;saprotrophic;;;Adewusi et al. 1993: 115;Adewusi et al. 1993 ;1993;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Agaricales;Catathelasmataceae;;Macrocybe lobayensis;(R. Heim) Pegler & Lodge;m;saprotrophic;;;Adewusi et al. 1993: 115, cited as Tricholoma lobayensis;Adewusi et al. 1993;1993;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Agaricales;Agaricaceae;;Agaricus bisporus;(J.E. Lange) Imbach;m;saprotrophic;on litter;;Afiukwa et al. 2013: 411;Afiukwa et al. 2013 ;2013;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Lentinus sajor-caju;(Fr.) Fr.;m;saprotrophic;;;Afiukwa et al. 2013: 411;Afiukwa et al. 2013 ;2013;;;;;;;;;;;x;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Xerotus afer;Fr.;m;saprotrophic;on dead wood;;Afzelius & Fries 1860: 1;Afzelius & Fries 1860;1860;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Basidiomycota;Agaricales;Schizophyllaceae;;Schizophyllum flabellare;Fr.;m;saprotrophic;on dead wood;;Afzelius & Fries 1860: 1;Afzelius & Fries 1860;1860;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Neolentinus cirrhosus;(Fr.) Redhead & Ginns;m;saprotrophic;on soil;;Afzelius & Fries 1860: 1, cited as Lentinus cirrhosus;Afzelius & Fries 1860;1860;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Lentinus tuber-regium;(Fr.) Fr.;m;saprotrophic;;;Afzelius & Fries 1860: 1, cited as Lentinus descendens;Afzelius & Fries 1860;1860;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Trametes palisotii;(Fr.) Imazeki;m;saprotrophic;on dead wood;;Afzelius & Fries 1860: 1, cited as Lenzites palisoti;Afzelius & Fries 1860;1860;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Polyporus afzelii;Fr.;m;saprotrophic;on trunks;;Afzelius & Fries 1860: 2;Afzelius & Fries 1860;1860;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Polyporus pediformis;Fr.;m;saprotrophic;on dead wood;;Afzelius & Fries 1860: 2;Afzelius & Fries 1860;1860;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Polyporus pulcher;Fr.;m;saprotrophic;on soil;;Afzelius & Fries 1860: 2;Afzelius & Fries 1860;1860;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Lenzites betulinus;(L.) Fr.;m;saprotrophic;on dead wood;;Afzelius & Fries 1860: 2, cited as Lenzites guineensis;Afzelius & Fries 1860;1860;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
