status of taxon;kingdom;phylum;order;family;cf./aff.;species;authors;Mycology Phytopathology Lichenology;ecology;substrate;host family;literature reference;only reference;only year;Benin (Dahomey);Burkina-Faso;Gambia;Ghana (Gold Coast);Guinea;Guinea Bissau;Ivory Coast;Liberia;Mali;Niger;Nigeria;Senegal;Sierra Leone;Togo;Comments
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Pycnoporus sanguineus;(L.) Murrill;m;saprotrophic;;;Patouillard 1907: 80, cited as Microporus sanguineus;Patouillard 1907;1907;;;;;x;;;;;;;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Trametes polyzona;(Pers.) Justo;m;saprotrophic;;;Patouillard 1907: 80, cited as Trametes lanata;Patouillard 1907;1907;;;;;x;;;;;;;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Trametes marianna;(Pers.) Ryvarden;m;saprotrophic;;;Patouillard 1907: 80, cited as Trametes paleacea;Patouillard 1907;1907;;;;;x;;;;;;;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Earliella scabrosa;(Pers.) Gilb. & Ryvarden;m;saprotrophic;;;Patouillard 1907: 80, cited as Trametes persoonii;Patouillard 1907;1907;;;;;x;;;;;;;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Coriolus expansus;(Fr.) Pat.;m;saprotrophic;;;Patouillard 1907: 81;Patouillard 1907;1907;;;;;x;;;;;;;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Coriolus fischeri f. subresupinata;Pat.;m;saprotrophic;;;Patouillard 1907: 81;Patouillard 1907;1907;;;;;x;;;;;;;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Funalia funalis;(Fr.) Pat.;m;saprotrophic;;;Patouillard 1907: 81;Patouillard 1907;1907;;;;;x;;;;;;;;;;
accepted;Fungi;Basidiomycota;Polyporales;Ganodermataceae;;Ganoderma chalceum;(Cooke) Steyaert;m;saprotrophic;on dead wood;;Patouillard 1907: 81, cited as Coriolus albofuscus;Patouillard 1907;1907;;;;;x;;;;;;;;;;
accepted;Fungi;Basidiomycota;Polyporales;Polyporaceae;;Trametes cotonea;(Pat. & Har.) Ryvarden;m;saprotrophic;;;Patouillard 1907: 81, cited as Coriolus cotoneus;Patouillard 1907;1907;;;;;x;;;;;;;;x;;
accepted;Fungi;Basidiomycota;Hymenochaetales;Hymenochaetales family incertae sedis;;Trichaptum byssogenum;(Jungh.) Ryvarden;m;saprotrophic;on dead wood;;Patouillard 1907: 81, cited as Funalia bouei;Patouillard 1907;1907;;;;;x;;;;;;;;;;
