;status of taxon;kingdom;phylum;order;family;cf./aff.;species;authors;Mycology Phytopathology Lichenology;ecology;substrate;host family;literature reference;country;only year;first_author
6969;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Solanum tuberosum;Solanaceae;IMI79037;Nigeria;1959;Harris, E.
6970;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Cola nitida;Sterculiaceae;IMI181292;Nigeria;1974;McDonald, D.
6971;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Triticum;Gramineae;IMI182637;Nigeria;1974;Giha, O.H.
6972;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Solanum tuberosum;Solanaceae;IMI113847;Nigeria;;Keay, M.H.
6973;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Lycopersicon esculentum;Solanaceae;IMI126310;Nigeria;;Keay, H.A.
6974;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;;;IMI181255;Nigeria;1974;McDonald, D.
6975;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Allium cepa;Liliaceae;IMI276248a;Senegal;1983;
6976;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium equiseti;(Corda) Sacc.;;;Associated organism: Allium cepa;Liliaceae;IMI276248b;Senegal;1983;
6977;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;;;IMI275709;Nigeria;1983;Ngala, G.N.
6978;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Substratum: substance, air;;IMI226737;Nigeria;1978;Gugnani, H.C. [Dr]
6979;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Solanum tuberosum;Solanaceae;IMI298274;Nigeria;1985;Amadiona
6980;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Hibiscus esculentus;Malvaceae;IMI187772;Sierra Leone;1974;Kapomia, R.G.
6981;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Vigna sinensis;Leguminosae;IMI147273;Nigeria;;Williams, R.
6982;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Isoptera;Animalia;IMI242888;Nigeria;1979;Thomas, R.J.
6983;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Allium cepa;Liliaceae;IMI264670;Nigeria;1982;Alagoa, F.A.
6984;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Substratum: fruit. Associated organism: Telfairia occidentalis;Cucurbitaceae;IMI207328;Nigeria;1976;Maduewesi, J.N.C.
6985;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;;;IMI267695;Nigeria;1982;Uuala, A.O.
6986;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Vigna sinensis;Leguminosae;IMI157868;Nigeria;1971;Quansah, S.K.
6987;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Stylosanthes;Leguminosae;IMI321140;Nigeria;1988;Adeoti, A.A.
6988;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Cola nitida;Sterculiaceae;IMI182231;Nigeria;1974;McDonald, D.
6989;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Elaeis guineensis;Palmae;IMI170608;Ivory Coast;1972;Jackson, G.
6990;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Substratum: substance, soil;;IMI250945;Nigeria;1980;Ugoji, E. [Miss]
6991;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Sorghum;Gramineae;IMI178756;Nigeria;;McDonald, D.
6992;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;"Substratum: seedling. Associated organisms: Lycopersicon esculentum; Spinacia oleracea";"Solanaceae; Chenopodiaceae";IMI311837;Nigeria;1986;Maduewesi, J.N.C.
6993;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;"Substratum: seed; rhizosphere. Associated organism: Elaeis guineensis";Palmae;IMI259486;Nigeria;1981;Airede, K.E.
6994;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;"Substratum: seed; rhizosphere. Associated organism: Elaeis guineensis";Palmae;IMI259481;Nigeria;1981;Airede, K.E.
6995;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Cola nitida;Sterculiaceae;IMI180737;Nigeria;1974;McDonald, D.
6996;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;Associated organism: Elaeis guineensis;Palmae;IMI194838;Nigeria;1975;Rajagopalan, K.
6997;;Fungi;Ascomycota;Hypocreales;Nectriaceae;;Fusarium oxysporum;Schltdl.;;;;;IMI158254;Nigeria;1971;Peregrine, W.T.H.
