ID;gbifID;phylum;species;authors;country;recordedBy;basisOfRecord;identifiedBy;typeStatus
8966;100210782;Ascomycota;Cladosporium colocasiae;Sawada;Nigeria;;PRESERVED_SPECIMEN;;
8965;100210930;Ascomycota;Cladosporium cladosporioides;(Fresen.) G.A.de Vries;Nigeria;;PRESERVED_SPECIMEN;;
8964;100212045;Ascomycota;Cladosporium cladosporioides;(Fresen.) G.A.de Vries;Sierra Leone;;PRESERVED_SPECIMEN;;
8963;100212121;Ascomycota;Cladosporium colocasiae;Sawada;Guinea;;PRESERVED_SPECIMEN;;
8962;100213509;Ascomycota;Cladosporium oxysporum;Berk. & M.A.Curtis;Nigeria;;PRESERVED_SPECIMEN;;
8961;100213510;Ascomycota;Cladosporium oxysporum;Berk. & M.A.Curtis;Nigeria;;PRESERVED_SPECIMEN;;
8960;100213521;Ascomycota;Cladosporium oxysporum;Berk. & M.A.Curtis;Nigeria;;PRESERVED_SPECIMEN;;
8959;100213526;Ascomycota;Cladosporium oxysporum;Berk. & M.A.Curtis;Nigeria;;PRESERVED_SPECIMEN;;
8958;100213527;Ascomycota;Cladosporium oxysporum;Berk. & M.A.Curtis;Nigeria;;PRESERVED_SPECIMEN;;
8957;100213550;Ascomycota;Cladosporium oxysporum;Berk. & M.A.Curtis;Nigeria;;PRESERVED_SPECIMEN;;
8956;100213562;Ascomycota;Cladosporium oxysporum;Berk. & M.A.Curtis;Nigeria;;PRESERVED_SPECIMEN;;
8955;100213563;Ascomycota;Cladosporium oxysporum;Berk. & M.A.Curtis;Sierra Leone;;PRESERVED_SPECIMEN;;
8954;100213727;Ascomycota;Metulocladosporiella musae;E.W.Mason;Togo;;PRESERVED_SPECIMEN;;
8953;100213807;Ascomycota;Cladosporium oxysporum;Berk. & M.A.Curtis;Nigeria;;PRESERVED_SPECIMEN;;
8952;100213820;Ascomycota;Cladosporium herbarum;(Pers.) Link;Nigeria;;PRESERVED_SPECIMEN;;
8951;100214613;Ascomycota;Zasmidium paulliniae;Deighton;Ghana;;PRESERVED_SPECIMEN;;
8950;100214672;Ascomycota;Cladosporium oxysporum;Berk. & M.A.Curtis;Sierra Leone;;PRESERVED_SPECIMEN;;
8949;100214745;Ascomycota;Metulocladosporiella musae;E.W.Mason;Ghana;;PRESERVED_SPECIMEN;;
8948;100215080;Ascomycota;Zasmidium paulliniae;Deighton;Sierra Leone;;PRESERVED_SPECIMEN;;
8947;100215081;Ascomycota;Metulocladosporiella musae;E.W.Mason;Sierra Leone;;PRESERVED_SPECIMEN;;
8946;100215224;Ascomycota;Cladosporium herbarum;(Pers.) Link;Nigeria;;PRESERVED_SPECIMEN;;
8945;100215457;Ascomycota;Cladosporium sphaerospermum;Penz.;Gambia;;PRESERVED_SPECIMEN;;
8944;100215458;Ascomycota;Cladosporium sphaerospermum;Penz.;Nigeria;;PRESERVED_SPECIMEN;;
8941;100215590;Ascomycota;Cladosporium sphaerospermum;Penz.;Nigeria;;PRESERVED_SPECIMEN;;
8940;100215673;Ascomycota;Cladosporium sphaerospermum;Penz.;Nigeria;;PRESERVED_SPECIMEN;;
8939;100215678;Ascomycota;Cladosporium tenuissimum;Cooke;Sierra Leone;;PRESERVED_SPECIMEN;;
8938;100215688;Ascomycota;Cladosporium sphaerospermum;Penz.;Sierra Leone;;PRESERVED_SPECIMEN;;
8937;100215689;Ascomycota;Cladosporium tenuissimum;Cooke;Sierra Leone;;PRESERVED_SPECIMEN;;
8936;100215718;Ascomycota;Cladosporium sphaerospermum;Penz.;Sierra Leone;;PRESERVED_SPECIMEN;;
8935;100215719;Ascomycota;Cladosporium sphaerospermum;Penz.;Sierra Leone;;PRESERVED_SPECIMEN;;
8934;100215891;Ascomycota;Cladosporium tenuissimum;Cooke;Nigeria;;PRESERVED_SPECIMEN;;
8933;100215978;Ascomycota;Cladosporium tenuissimum;Cooke;Nigeria;;PRESERVED_SPECIMEN;;
8932;100215979;Ascomycota;Cladosporium tenuissimum;Cooke;Nigeria;;PRESERVED_SPECIMEN;;
8930;100217081;Ascomycota;Claviceps maximensis;T.Theis;Sierra Leone;;PRESERVED_SPECIMEN;;
8929;100217083;Ascomycota;Claviceps maximensis;T.Theis;Sierra Leone;;PRESERVED_SPECIMEN;;
8928;100217085;Ascomycota;Claviceps maximensis;T.Theis;Sierra Leone;;PRESERVED_SPECIMEN;;
8924;100218286;Ascomycota;Clypeolella ricini;Racib.;Guinea;;PRESERVED_SPECIMEN;;
8923;100218335;Ascomycota;Clypeolella ricini;Racib.;Sierra Leone;;PRESERVED_SPECIMEN;;
8922;100218398;Ascomycota;Curvularia cymbopogonis;J.A.Hall & Sivan.,;Gambia;;PRESERVED_SPECIMEN;;
8921;100218526;Ascomycota;Bipolaris zeicola;R.R.Nelson,;Nigeria;;PRESERVED_SPECIMEN;;
8920;100218922;Ascomycota;Curvularia cymbopogonis;J.A.Hall & Sivan.,;Nigeria;;PRESERVED_SPECIMEN;;
8919;100218998;Ascomycota;Clypeolella ricini;Racib.;Ghana;;PRESERVED_SPECIMEN;;
8918;100219046;Ascomycota;Clypeolella ricini;Racib.;Sierra Leone;;PRESERVED_SPECIMEN;;
8917;100219047;Ascomycota;Clypeolella ricini;Racib.;Sierra Leone;;PRESERVED_SPECIMEN;;
8916;100219055;Ascomycota;Clypeolella ricini;Racib.;Ghana;;PRESERVED_SPECIMEN;;
8915;100219056;Ascomycota;Clypeolella ricini;Racib.;Sierra Leone;;PRESERVED_SPECIMEN;;
8914;100219059;Ascomycota;Clypeolella ricini;Racib.;Sierra Leone;;PRESERVED_SPECIMEN;;
8913;100219071;Ascomycota;Curvularia cymbopogonis;J.A.Hall & Sivan.,;Sierra Leone;;PRESERVED_SPECIMEN;;
