;n;first;last;origin
Fasola;1;2007;2007;African
Fassatiova;1;1967;1967;European
Fawole;1;2017;2017;African
Fennell;1;1955;1955;other
Fernandez-Garcia;1;1990;1990;European
Ferreira;1;2018;2018;other
Fisher;1;1983;1983;European
Fomba;1;1984;1984;African
Friberg;1;2001;2001;European
Fries;7;1821;1851;European
Frisch;1;2010;2010;European
Frisvad;1;2005;2005;European
Fulgence;1;2013;2013;African
Gams;2;1971;1984;European
Garcia;1;2004;2004;other
Gardt;1;2011;2011;European
Gbolagade;3;2005;2006;African
Ge;1;2018;2018;other
Gilman;1;1969;1969;European
Gjaerum;1;1988;1988;European
Guissou;3;2005;2015;African
Guzman;1;1970;1970;other
Guzman-Davalos;1;2008;2008;other
Gwary;1;2007;2007;African
Haerkoenen;2;1981;1993;European
Hale;6;1971;1990;other
Hama;4;2008;2012;African
Hambler;1;1964;1964;European
Hansford;12;1945;1963;European
Hariot;2;1904;1910;European
Harris;1;1960;1960;European
Hawksworth;2;1979;2011;European
Heim;14;1940;1977;European
Heinemann;3;1954;1990;European
Hell;1;2009;2009;European
Hennings;7;1893;1905;European
Hernandez;1;2005;2005;other
Herrera;1;2013;2013;other
Hjortstam;2;1981;1993;European
Holden;1;1970;1970;European
Holland;1;1922;1922;European
Houssou;1;2009;2009;African
Huang;2;1971;1973;other
Hughes;9;1951;1953;European
Huneck;1;1975;1975;European
Hyde;1;1999;1999;other
Hywel-Jones;1;1998;1998;other
Ihayere;1;2010;2010;African
Ing;3;1964;1968;European
Ingleby;1;1994;1994;European
Ingold;2;1956;1959;European
Ite;1;2014;2014;African
Jardine;1;1965;1965;African
Jeger;1;1998;1998;European
Johansen;1;1979;1979;European
Johnson JM;2;2013;2015;African
Johnson TW;1;2005;2005;other
Jones;1;1964;1964;European
Jonsyn;1;1988;1988;African
Kamou;2;2015;2017;African
Kane;2;2013;2013;African
Kawakami;1;2008;2008;other
Kee;1;2017;2017;other
Kehinde;1;2013;2013;African
Kellogg;1;2004;2004;other
Kern;1;1959;1959;European
Khemmuk;1;2016;2016;other
Kini;1;2002;2002;other
Kirk;1;1980;1980;European
Klaubauf;1;2014;2014;European
Kohlmeyer J;6;1966;1981;other
Kolawole;1;2013;2013;African
Kone;2;2010;2013;African
Kranz;8;1964;1970;European
Kreisel;2;1967;2001;European
Kukwa;1;2014;2014;European
Kurtzman CP;1;2001;2001;other
Kurtzman RH Jr.;1;2011;2011;other
Kutama;1;2010;2010;African
Leakey;1;1964;1964;European
Leather;1;1959;1959;European
Lenne;2;1989;1990;other
